token,tag_true,tag_pred
образовании,I-TERM,I-TERM
.,O,O
Исследуется,O,O
семантика,B-TERM,B-TERM
и,O,O
прагматика,B-TERM,B-TERM
конструкций,B-TERM,I-TERM
типа,O,O
самый,O,O
покупаемый,O,O
",",O,O
которые,O,O
широко,O,O
используются,O,O
в,O,O
медиатекстах,B-TERM,B-TERM
для,O,O
номинации,B-TERM,O
качественного,I-TERM,B-TERM
признака,I-TERM,I-TERM
предмета,I-TERM,I-TERM
.,O,O
Автор,O,O
выявляет,O,O
факторы,B-TERM,O
",",O,O
обусловливающие,O,O
возможность,O,O
образования,O,O
таких,O,O
конструкций,B-TERM,O
",",O,O
описывает,O,O
характерные,O,O
для,O,O
них,O,O
имплицитные,B-TERM,B-TERM
смыслы,I-TERM,I-TERM
",",O,O
показывает,O,O
",",O,O
что,O,O
они,O,O
апеллируют,O,O
к,O,O
авторитету,O,O
или,O,O
практике,O,O
неограниченного,O,O
круга,O,O
лиц,O,O
и,O,O
потому,O,O
обладают,O,O
повышенной,O,O
воздействующей,B-TERM,O
силой,I-TERM,O
.,O,O
Анализируется,O,O
семантика,B-TERM,B-TERM
и,O,O
особенности,B-TERM,O
употребления,I-TERM,O
в,O,O
современной,O,O
русской,O,O
речи,O,O
слов,O,O
(,O,O
российцы,O,O
",",O,O
россиянцы,O,O
",",O,O
эрэфцы,O,B-TERM
",",O,O
эрэфийцы,O,B-TERM
",",O,O
эрэфяне,O,B-TERM
",",O,O
русичи,O,O
",",O,O
урусы,O,O
",",O,O
руситы,O,O
и,O,O
др,O,O
.,O,O
),O,O
",",O,O
находящихся,O,O
на,O,O
стыке,O,B-TERM
этнонимии,B-TERM,I-TERM
и,O,O
названий,B-TERM,O
жителей,I-TERM,O
.,O,O
Статья,O,O
посвящена,O,O
исследованию,O,O
функционирования,B-TERM,B-TERM
лексики,I-TERM,I-TERM
со,O,O
значением,O,O
«,O,O
пунктуация,O,O
»,O,O
в,O,O
публицистической,B-TERM,B-TERM
сфере,I-TERM,I-TERM
речевой,B-TERM,I-TERM
коммуникации,I-TERM,I-TERM
.,O,O
Актуальность,O,O
определяется,O,O
учетом,O,O
коммуникативно,B-TERM,B-TERM
-,I-TERM,O
прагматического,I-TERM,B-TERM
аспекта,I-TERM,I-TERM
при,O,O
рассмотрении,O,B-TERM
пунктуации,B-TERM,I-TERM
.,O,O
Для,O,O
описания,O,O
поведения,O,B-TERM
амплитуды,B-TERM,I-TERM
колебаний,I-TERM,I-TERM
конически,B-TERM,B-TERM
-,I-TERM,O
сферической,I-TERM,B-TERM
модели,I-TERM,I-TERM
на,O,O
поперечной,B-TERM,B-TERM
державке,I-TERM,I-TERM
при,O,O
числе,B-TERM,O
Маха,I-TERM,O
М,B-TERM,O
#ERROR!,O,O
2,O,O
",",O,O
3,O,O
была,O,O
использована,O,O
полиномиальная,B-TERM,O
зависимость,I-TERM,O
функции,B-TERM,B-TERM
вязкого,I-TERM,I-TERM
демпфирования,I-TERM,B-TERM
.,O,I-TERM
В,O,I-TERM
качестве,O,O
функции,B-TERM,O
вязкого,I-TERM,O
демпфирования,I-TERM,B-TERM
был,O,I-TERM
взят,O,I-TERM
полином,B-TERM,O
4,I-TERM,O
-,I-TERM,O
й,I-TERM,O
степени,I-TERM,O
",",O,O
что,O,O
дало,O,O
возможность,O,O
описать,O,O
два,O,O
предельных,B-TERM,O
цикла,I-TERM,O
",",O,B-TERM
наблюдаемых,O,I-TERM
в,O,O
экспериментах,O,O
.,O,O
Коэффициенты,B-TERM,B-TERM
полинома,I-TERM,I-TERM
были,O,O
определены,O,O
и,O,O
показали,O,O
хорошее,O,O
соответствие,O,O
численному,B-TERM,O
решению,I-TERM,O
предложенного,O,O
уравнения,B-TERM,O
динамики,I-TERM,O
.,O,O
Рассмотрен,O,O
подход,O,O
к,O,O
созданию,O,B-TERM
узкополосного,B-TERM,I-TERM
квазиоптического,I-TERM,I-TERM
фильтра,I-TERM,I-TERM
с,O,O
центральной,B-TERM,O
частотой,I-TERM,O
ν,O,O
#ERROR!,O,O
806,O,O
ГГц,B-TERM,O
(,O,O
λ,B-TERM,O
#ERROR!,O,O
372,O,O
мкм,B-TERM,O
),O,O
",",O,O
предназначенного,O,O
для,O,O
реализации,O,O
метода,B-TERM,O
андерсемплинга,I-TERM,O
в,O,O
импульсной,B-TERM,O
терагерцовой,I-TERM,B-TERM
спектроскопии,I-TERM,I-TERM
.,O,O
Частота,B-TERM,B-TERM
выбрана,O,I-TERM
с,O,I-TERM
целью,O,O
мониторинга,B-TERM,O
линии,I-TERM,O
поглощения,I-TERM,O
молекулярного,I-TERM,O
газа,I-TERM,B-TERM
СО,B-TERM,I-TERM
в,O,I-TERM
локальном,B-TERM,I-TERM
окне,I-TERM,I-TERM
прозрачности,B-TERM,O
атмосферы,I-TERM,O
.,O,O
Фильтр,B-TERM,O
основан,O,O
на,O,O
эталоне,B-TERM,O
Фабри,I-TERM,O
–,I-TERM,O
Перо,I-TERM,O
и,O,O
представляет,O,O
собой,O,O
полипропиленовую,B-TERM,B-TERM
пленку,I-TERM,I-TERM
с,O,O
нанесенными,O,O
с,O,O
обеих,O,O
сторон,O,O
частотно,B-TERM,B-TERM
-,I-TERM,I-TERM
избирательными,I-TERM,I-TERM
поверхностями,I-TERM,I-TERM
(,O,O
ЧИП,B-TERM,O
),O,O
в,O,O
форме,O,B-TERM
квадратных,O,I-TERM
прорезей,O,I-TERM
в,O,O
напыленном,O,B-TERM
алюминиевом,O,B-TERM
слое,O,I-TERM
.,O,O
Посредством,O,O
численного,B-TERM,B-TERM
моделирования,I-TERM,I-TERM
пропускания,B-TERM,I-TERM
предложенной,O,I-TERM
структуры,O,I-TERM
определено,O,O
",",O,O
что,O,O
оптимум,O,O
отношения,O,O
ширины,O,O
металлической,O,B-TERM
перемычки,O,I-TERM
a,O,I-TERM
к,O,O
латеральному,B-TERM,B-TERM
периоду,I-TERM,I-TERM
g,O,I-TERM
ЧИП,B-TERM,O
лежит,O,O
в,O,O
окрестности,B-TERM,O
a,O,O
/,O,O
g,O,O
#ERROR!,O,O
0,O,O
",",O,O
5,O,O
.,O,O
При,O,O
выборе,O,O
g,O,O
менее,O,O
половины,O,O
рабочей,O,O
длины,B-TERM,O
волны,I-TERM,B-TERM
λ,B-TERM,I-TERM
показано,O,I-TERM
",",O,O
что,O,O
полная,B-TERM,O
ширина,I-TERM,O
на,O,O
полувысоте,B-TERM,O
пропускания,I-TERM,O
получаемого,O,B-TERM
квазиоптического,B-TERM,I-TERM
фильтра,I-TERM,I-TERM
составляет,O,B-TERM
менее,O,I-TERM
4,O,O
%,O,O
",",O,O
что,O,O
достаточно,O,O
для,O,O
реализации,O,O
метода,B-TERM,O
андерсемплинга,I-TERM,O
в,O,B-TERM
импульсных,B-TERM,I-TERM
терагерцовых,I-TERM,O
спектрометрах,I-TERM,B-TERM
.,O,I-TERM
В,O,O
статье,O,O
представлена,O,O
кафедра,B-TERM,O
высшей,B-TERM,B-TERM
математики,I-TERM,I-TERM
физического,O,I-TERM
факультета,O,I-TERM
Новосибирского,O,I-TERM
государственного,O,I-TERM
университета,O,I-TERM
.,O,O
Рассказывается,O,O
об,O,O
истории,O,O
создания,O,O
кафедры,B-TERM,O
",",O,O
ее,O,O
традициях,O,O
и,O,O
методах,O,O
",",O,O
которые,O,O
используют,O,O
ее,O,O
преподаватели,O,O
.,O,O
Читатель,O,O
также,O,O
узнает,O,O
некоторые,O,O
основные,O,O
сведения,O,O
о,O,O
коллективе,O,O
кафедры,B-TERM,O
и,O,O
особенностях,O,O
преподаваемых,O,O
курсов,O,O
.,O,O
В,O,O
статье,O,O
рассказывается,O,O
о,O,O
кафедре,B-TERM,B-TERM
физики,B-TERM,I-TERM
ускорителей,I-TERM,I-TERM
физического,O,I-TERM
факультета,O,I-TERM
Новосибирского,O,I-TERM
государственного,O,I-TERM
университета,O,I-TERM
",",O,O
базирующейся,O,O
в,O,O
Институте,B-TERM,B-TERM
ядерной,I-TERM,I-TERM
физики,I-TERM,I-TERM
им,O,O
.,O,O
Г,O,O
.,O,O
И,O,O
.,O,O
Будкера,O,O
СО,B-TERM,O
РАН,I-TERM,O
.,O,O
Проведено,O,O
исследование,O,O
влияния,O,O
распределенного,B-TERM,O
вдува,I-TERM,O
газа,I-TERM,O
с,O,O
большой,O,O
теплоемкостью,B-TERM,O
в,O,O
сверхзвуковой,B-TERM,B-TERM
пограничный,I-TERM,I-TERM
слой,I-TERM,I-TERM
на,O,O
его,O,O
устойчивость,B-TERM,O
к,I-TERM,O
искусственным,I-TERM,O
возмущениям,I-TERM,B-TERM
.,O,O
Показано,O,O
",",O,O
что,O,O
вдув,B-TERM,O
газа,I-TERM,O
с,O,O
большой,O,O
теплоемкостью,B-TERM,O
Cp,O,O
при,O,O
некоторых,O,O
значениях,O,B-TERM
расхода,O,I-TERM
может,O,O
приводить,O,O
к,O,O
стабилизации,O,B-TERM
сверхзвукового,B-TERM,I-TERM
пограничного,I-TERM,I-TERM
слоя,I-TERM,I-TERM
.,O,O
Изучены,O,O
клинико,O,B-TERM
-,O,O
лабораторные,O,B-TERM
особенности,O,I-TERM
течения,O,B-TERM
воспалительных,B-TERM,I-TERM
заболеваний,I-TERM,I-TERM
придатков,B-TERM,I-TERM
матки,I-TERM,O
у,O,O
164,O,O
пациенток,O,O
в,O,O
возрасте,O,O
от,O,O
15,O,O
до,O,O
60,O,O
лет,O,O
.,O,O
Проведено,O,O
рандомизированное,O,B-TERM
клиническое,O,B-TERM
испытание,O,I-TERM
различных,O,O
способов,O,B-TERM
лимфотроптого,B-TERM,I-TERM
введения,I-TERM,I-TERM
антибиотиков,B-TERM,I-TERM
в,O,O
комплексном,O,B-TERM
лечении,O,I-TERM
данной,O,O
патологии,B-TERM,O
у,O,O
женщин,O,O
разных,O,O
возрастных,O,O
групп,O,O
.,O,O
Показано,O,O
",",O,O
что,O,O
воспалительные,B-TERM,O
заболевания,I-TERM,O
придатков,B-TERM,O
матки,I-TERM,O
имеют,O,O
клинико,O,B-TERM
-,O,O
лабораторные,O,O
особенности,O,O
в,O,O
разные,O,O
возрастные,O,O
периоды,O,O
.,O,O
Дисбиоз,B-TERM,B-TERM
влагалища,I-TERM,I-TERM
и,O,O
вагинит,B-TERM,B-TERM
",",O,O
более,O,O
частое,O,O
выявление,O,B-TERM
хламидий,B-TERM,I-TERM
и,O,O
уреаплазм,B-TERM,B-TERM
у,O,O
девочек,O,O
",",O,O
не,O,O
имеющих,O,O
сексуального,O,B-TERM
опыта,O,I-TERM
",",O,O
может,O,O
свидетельствовать,O,O
в,O,O
пользу,O,O
возможного,O,O
восходящего,O,O
пути,O,O
инфицирования,B-TERM,O
с,O,O
развитием,O,O
первично,B-TERM,O
хронического,I-TERM,B-TERM
малосимптомного,I-TERM,I-TERM
процесса,I-TERM,I-TERM
в,O,O
придатках,B-TERM,O
матки,I-TERM,O
в,O,O
данной,O,O
возрастной,O,O
группе,O,O
.,O,O
Определённая,O,O
модель,O,O
поведения,O,O
сексуально,O,B-TERM
-,O,I-TERM
активных,O,I-TERM
девушек,O,O
способствует,O,O
выраженным,O,O
патологическим,B-TERM,B-TERM
изменениям,I-TERM,I-TERM
влагалищной,B-TERM,I-TERM
микрофлоры,I-TERM,I-TERM
",",O,O
которые,O,O
наряду,O,O
со,O,O
сниженной,O,O
реактивностью,B-TERM,B-TERM
местного,B-TERM,I-TERM
иммунитета,I-TERM,I-TERM
приводят,O,O
к,O,O
частому,O,O
развитию,O,O
остро,O,O
протекающих,O,B-TERM
воспалительных,B-TERM,I-TERM
процессов,I-TERM,I-TERM
с,O,O
осложнёнными,B-TERM,B-TERM
формами,I-TERM,I-TERM
.,O,O
Тяжёлому,O,B-TERM
гнойному,B-TERM,B-TERM
воспалению,I-TERM,I-TERM
придатков,B-TERM,I-TERM
матки,I-TERM,O
в,O,O
репродуктивном,B-TERM,B-TERM
возрасте,I-TERM,I-TERM
способствует,O,O
длительное,O,O
применение,O,O
ВМК,B-TERM,O
",",O,O
наличие,O,O
в,O,O
анамнезе,B-TERM,B-TERM
хронического,B-TERM,I-TERM
воспалительного,I-TERM,I-TERM
процесса,I-TERM,O
в,O,O
придатках,B-TERM,B-TERM
матки,I-TERM,I-TERM
",",O,O
нарушенного,O,O
биоценоза,B-TERM,B-TERM
влагалища,B-TERM,I-TERM
на,O,O
фоне,O,O
сниженных,O,O
показателей,O,B-TERM
местного,B-TERM,I-TERM
иммунитета,I-TERM,I-TERM
.,O,O
Частота,O,B-TERM
воспалительных,B-TERM,I-TERM
процессов,I-TERM,I-TERM
придатковматки,B-TERM,I-TERM
матки,I-TERM,I-TERM
в,O,O
старшей,O,O
возрастной,O,B-TERM
группе,O,I-TERM
снижается,O,O
с,O,O
угасанием,O,B-TERM
гормональной,B-TERM,I-TERM
функции,I-TERM,I-TERM
",",O,O
в,O,O
постменопаузе,B-TERM,B-TERM
требует,O,O
дифференциальной,O,B-TERM
диагностики,O,I-TERM
с,O,O
экстрагенитальной,B-TERM,B-TERM
патологией,I-TERM,I-TERM
.,O,O
Применение,O,O
комплексной,O,B-TERM
лимфотропной,B-TERM,I-TERM
антимикробной,I-TERM,I-TERM
терапии,I-TERM,I-TERM
при,O,O
воспалительных,B-TERM,B-TERM
заболеваниях,I-TERM,I-TERM
придатков,B-TERM,I-TERM
матки,I-TERM,O
в,O,O
разные,O,O
возрастные,O,O
периоды,O,O
повышает,O,O
эффективность,O,O
лечения,O,O
и,O,O
может,O,O
быть,O,O
рекомендовано,O,O
для,O,O
использования,O,O
в,O,O
клинике,O,O
.,O,O
Исследован,O,O
генетический,B-TERM,B-TERM
полиморфизм,I-TERM,I-TERM
ферментов,B-TERM,I-TERM
метаболизма,I-TERM,B-TERM
эстрогенов,I-TERM,I-TERM
:,O,O
цитохромов,B-TERM,B-TERM
P450,I-TERM,O
(,O,O
CYP,B-TERM,O
),O,O
1A1,B-TERM,O
и,O,O
1A2,B-TERM,O
",",O,O
CYP19,B-TERM,O
(,O,O
Ароматаза,B-TERM,B-TERM
),O,O
",",O,O
сульфоотрансфераза,B-TERM,B-TERM
(,O,O
SULT,B-TERM,O
),O,O
1A1,B-TERM,O
170,O,O
-,O,O
ти,O,O
женщин,O,O
с,O,O
миомой,B-TERM,B-TERM
матки,I-TERM,I-TERM
и,O,O
170,O,O
-,O,O
ти,O,O
здоровых,O,O
женщин,O,O
.,O,O
Достоверных,O,O
различий,O,O
в,O,O
частоте,O,B-TERM
встречаемости,O,I-TERM
мутантных,B-TERM,I-TERM
аллелей,I-TERM,I-TERM
генов,I-TERM,I-TERM
CYP1A1,B-TERM,O
(,O,O
MspI,B-TERM,O
полиморфизм,I-TERM,B-TERM
),O,O
и,O,O
CYP19,B-TERM,O
(,O,O
C264,B-TERM,O
-,I-TERM,O
T,I-TERM,O
),O,O
больных,O,O
и,O,O
здоровых,O,O
женщин,O,O
выявлено,O,O
не,O,O
было,O,O
.,O,O
Частота,O,B-TERM
мутантного,B-TERM,I-TERM
аллеля,I-TERM,I-TERM
гена,I-TERM,I-TERM
CYP1A2,B-TERM,O
(,O,O
A734,B-TERM,O
-,I-TERM,O
C,I-TERM,O
),O,O
была,O,O
выше,O,O
(,O,O
21,O,O
",",O,O
8,O,O
%,O,O
",",O,O
OR,O,O
#ERROR!,O,O
0,O,O
",",O,O
71,O,O
",",O,O
P,O,O
#ERROR!,O,O
0,O,O
",",O,O
97,O,O
),O,O
у,O,O
больных,O,O
женщин,O,O
по,O,O
сравнению,O,O
с,O,O
группой,O,O
контроля,O,O
(,O,O
16,O,O
",",O,O
5,O,O
%,O,O
),O,O
.,O,O
Частота,O,B-TERM
гетерозиготного,B-TERM,I-TERM
генотипа,I-TERM,I-TERM
CYP1A2,B-TERM,O
*,O,O
1A,O,O
/,O,O
1F,O,O
(,O,O
38,O,O
",",O,O
8,O,O
%,O,O
",",O,O
OR,O,O
#ERROR!,O,O
1,O,O
",",O,O
29,O,O
",",O,O
P,O,O
#ERROR!,O,O
0,O,O
",",O,O
37,O,O
),O,O
была,O,O
также,O,O
выше,O,O
по,O,O
сравнению,O,O
со,O,O
здоровыми,O,O
женщинами,O,O
(,O,O
32,O,O
",",O,O
9,O,O
%,O,O
),O,O
.,O,O
Выявлено,O,O
достоверное,O,O
снижение,O,O
частоты,O,B-TERM
встречаемости,O,I-TERM
мутантного,B-TERM,I-TERM
аллеля,I-TERM,I-TERM
гена,I-TERM,I-TERM
SULT1A1,B-TERM,O
(,O,O
G638,B-TERM,O
-,I-TERM,O
A,I-TERM,O
),O,O
у,O,O
женщин,O,O
с,O,O
миомой,B-TERM,B-TERM
(,O,O
34,O,O
",",O,O
7,O,O
%,O,O
",",O,O
OR,O,O
#ERROR!,O,O
0,O,O
",",O,O
60,O,O
",",O,O
P,O,O
#ERROR!,O,O
0,O,O
",",O,O
1,O,O
),O,O
по,O,O
сравнению,O,O
с,O,O
группой,O,O
контроля,O,O
(,O,O
47,O,O
",",O,O
1,O,O
%,O,O
),O,O
.,O,O
Кроме,O,O
того,O,O
",",O,O
наблюдается,O,O
снижение,O,O
частоты,O,B-TERM
встречаемости,O,I-TERM
гомозигот,B-TERM,I-TERM
мутантного,B-TERM,I-TERM
типа,I-TERM,I-TERM
больных,O,O
:,O,O
9,O,O
",",O,O
4,O,O
(,O,O
OR,O,O
#ERROR!,O,O
0,O,O
",",O,O
25,O,O
",",O,O
P,O,O
#ERROR!,O,O
0,O,O
",",O,O
6,O,O
),O,O
по,O,O
сравнению,O,O
с,O,O
группой,O,O
контроля,O,O
(,O,O
29,O,O
",",O,O
4,O,O
%,O,O
),O,O
.,O,O
Также,O,O
наблюдается,O,O
снижение,O,O
частоты,O,O
встречаемости,O,O
гетерозиготного,B-TERM,O
генотипа,I-TERM,O
SULT1A1,B-TERM,B-TERM
*,O,O
1,O,O
/,O,O
2,O,O
в,O,O
группе,O,O
с,O,O
доброкачественными,B-TERM,B-TERM
новообразованиями,I-TERM,I-TERM
(,O,O
50,O,O
",",O,O
6,O,O
%,O,O
",",O,O
OR,O,O
#ERROR!,O,O
1,O,O
",",O,O
88,O,O
",",O,O
P,O,O
#ERROR!,O,O
0,O,O
",",O,O
6,O,O
),O,O
по,O,O
сравнению,O,O
с,O,O
группой,O,O
контроля,O,O
(,O,O
35,O,O
",",O,O
3,O,O
